a              .6 -w
grandaddy      .gr&nd&di -w
granddaddy     .gr&nd&di -w
grandma        .gr&nma -w
grandma's      .gr&nmaz -w
grandmama  .gr&ndmam6 -w
grandmother   .gr&ndmADR -w
grandmother's  .gr&nmADR -w
grandpa        .gr&mpa -w
grandpa's   .gr&mp6z -w
grandparents   .gr&np*~ts -w
grandpas   .gr&np6z -w
granny          .gr&ni -w
granny's        .gr&niz -w
granola   .gr6nol6 -w
grant   .gr&nt -w
grape          .grep -w
grapefruit   .grepfrut -w
grapes         .greps -w
grasp          .gr&sp -w
grass   .gr&s -w
grasses  .gr&s6z -w
grasshopper        .gr&shapR -w
grate        .gret -w
grateful        .gretfL -w
gratefully        .gretfLi -w
grater        .gretR -w
gratings    .gretINz -w
gravel        .gr&vL -w
gravity        .gr&vIti -w
gravy        .grevi -w
gray           .gre -w
grayish        .greIS -w
grease        .gris -w
greasy        .grisi -w
great          .gret -w
greatest        .gret6st -w
greatly        .gretli -w
greats        .grets -w
greece        .gris -w
greedy        .gridi -w
greek        .grik -w
green          .grin -w
greg          .grEg -w
gregory        .grEg%i -w
gregory's        .grEg%iz -w
gretel         .grEtL -w
grew        .gru -w
grey           .gre -w
grief        .grif -w
griffin        .grIf~ -w
grill             .grIl -w
grilled        .grIld -w
grin         .grIn -w
grinch        .grInc -w
grinchie        .grInci -w
grind        .gr9nd -w
grinding   .gr9ndIN -w
grip        .grIp -w
grit        .grIt -w
grits        .grIts -w
gritty        .grIti -w
groaning     .gronIN -w
groceries      .grosriz -w
grocery           .grosri -w
gross            .gros -w
grouch                .grQc -w
groucho        .grQco -w
grouchy        .grQci -w
ground         .grQnd -w
groundhog        .grQndhOg -w
group          .grup -w
groupings      .grupINz -w
grover         .grovR -w
grow           .gro -w
growing        .groIN -w
growl        .grQl -w
growled        .grQld -w
growling        .grQlIN -w
grown           .gron -w
grownups        .gronAps -w
growth        .groT -w
grumpy        .grAmpi -w
grundy        .grAndi -w
grunt            .grAnt -w
grunted        .grAnt6d -w
grunting       .grAntIN -w
grunts           .grAnts -w
guard        .g#d -w
guards        .g#dz -w
gucci            .guci -w
guess          .gEs -w
guest        .gEst -w
guests        .gEsts -w
guide          .g9d -w
guilty        .gIlti -w
guitar        .gIt# -w
gum         .gAm -w
gummies        .gAmiz -w
gump        .gAmp -w
gums           .gAmz -w
gun           .gAn -w
guns           .gAnz -w
gus            .gAs -w
guy            .g9 -w
guy's          .g9z -w
guys           .g9z -w
guzenheit@s        .gEzUnt9t -w
gym            .GIm -w
h@l            .ec -w
ha         .ha -w
habit    .h&bIt -w
habits        .h&bIts -w
had            .h&d -w
hades        .hediz -w
hadn't         .h&d~t -w
hafta        .h&ft6 -w
hag        .h&g -w
haha        .ha -w .ha -w
hailey        .heli -w 
hair           .h* -w
hair's         .h*z -w
hairbrush      .h*brAS -w
haircut        .h*kAt -w
hairdo        .h*du -w
haired        .h*d -w
hairie    .h*i -w
hairies         .h*riz -w
hairs        .h*rz -w  
hairy        .h*ri -w
hakunamatata@si        .h6kUn6 -w .m6tat6 -w
haley's        .heliz -w
half           .h&f -w
halfs         .h&fs -w
halfsister        .h&fsIstR -w
halfway        .h&fwe -w
hall        .hOL -w
halle@si .halE -w
hallehallehalle@si .halE -w .halE -w .halE -w
hallelujah        .halEluya -w 
halloween      .h&lowin -w
hallway .hOlwe -w 
halo .helo -w
ham            .h&m -w
hamburger        .h&mb3gR -w
hammer         .h&mR -w
hammock        .h&mAk -w
hand           .h&nd -w
hand's         .h&ndz -w
handbook        .h&ndbUk -w
handed         .h&ndId -w
handfuls       .h&ndfUlz -w
handicapped    .h&ndik&pt -w
handing        .h&ndIN -w
handkerchiefs        .h&NkRcifs -w
handle          .h&ndL -w
handlebars        .h&ndLbarz -w
handled         .h&ndLd -w
handles        .h&ndLz -w
handling       .h&ndLIN -w
handmedown     .h&ndmidQn -w
handmedowns        .h&ndmidQnz -w
hands          .h&ndz -w
handsie        .h&ndzi -w
handsies        .h&ndziz -w
handsome      .h&nsAm -w
handy        .h&ndi -w
handyman .h&ndim&n -w
hang           .h&N -w
hanger        .heNgR -w
hanger's        .heNgRz -w
hangers        .heNgRz -w
hanging        .h&NIN -w
hangs          .h&Nz -w
hannah        .h&n6 -w
hannah's .h&n6z -w
hansel         .h&nsL -w
happen         .h&p~ -w
happened       .h&p~d -w
happening      .h&p6nIN -w
happens        .h&p~z -w
happiest        .h&pi6st -w
happily        .h&p6li -w
happiness        .h&pinEs -w
happy          .h&pi -w
happybirthday        .h&pi -w.b3Tde -w
hard           .h#d -w
harder         .h#dR -w
hardest        .h#dIst -w
hardheaded      .h#dhEd6d -w
hardly         .h#dli -w
hare        .h* -w        
hare's        .h*z-w
harmful        .h#mfL -w
harmless        .h#mlEs -w        
harmonica        .h#manIk6 -w
harness        .h#nIs -w
harry        .h*ri -w
harvard        .h#vRd -w
harvest        .h#vEst -w
has            .h&z -w
hash        .h&S -w
hasn't         .h&z~t -w
hassle .hezL -w
hat            .h&t -w
hatchling        .h&cllN -w
hate           .het -w
hated          .hetId -w
hates          .hets -w
hats           .h&ts -w
have           .h&v -w
haven't        .h&v~t -w
having         .h&vIN -w
hawk .hOk -w
hawn        .hOn -w 
hay        .he -w
hayley        .heli -w
haystack        .hest&k -w
haystacks        .hest&ks -w
hazard        .h&z3d -w
he             .hi -w
he'd           .hid -w
he'll          .hil -w
he's           .hiz -w
head           .hEd -w
headache        .hEdek -w                
headache        .hEdek -w                
headband        .hEdb&nd -w
headband        .hEdb&nd -w
headbutt        .hEdbAt -w
headbutt        .hEdbAt -w
headbutted        .hEdbAt6d -w
headbutted        .hEdbAt6d -w
headbutting        .hEdbAtIN -w
headbutting        .hEdbAtIN -w
headbutts        .hEdbAts -w
headbutts        .hEdbAts -w
headed       .hEd6d -w
heading        .hEdIN -w
headphones        .hEdfonz -w
headphones        .hEdfonz -w
heads          .hEdz -w
heal        .hil -w        
heal        .hil -w        
heals        .hilz -w
health        .hElT -w        
health        .hElT -w        
healthy        .hElTi -w
healthy        .hElTi -w
heap        .hip -w
heap        .hip -w
heaped        .hipt -w 
heaped        .hipt -w 
hear           .h( -w
heard          .h3d -w
hearing        .h(IN -w
hearing        .h(IN -w 
hears          .h(z -w
heart          .h#t -w
heart's        .h#ts -w
heart's        .h#ts -w
heartbeat        .h#bit -w
heartbeat        .h#bit -w
heartie        .h#ti -w
heartie        .h#ti -w
heat        .hit -w
heat        .hit -w
heated        .hit6d -w
heated        .hit6d -w
heater        .hitR -w
heater        .hitR -w
heater's        .hitRz -w
heater's        .hitRz -w
heating        .hitIn -w
heating        .hitIn -w
heaven        .hEvEn -w
heaven        .hEvEn -w
heavenly        .hEvEnLi -w
heavenly        .hEvEnLi -w
heavens        .hEv~ -w
heavier        .hEviR -w
heavier        .hEviR -w
heavy          .hEvi -w
hebrews        .hibruz -w
hebrews        .hibruz -w
hedgehog        .hEGhag -w        
hedgehog        .hEGhag -w        
hedgehog's        .hEGhagz -w
hedgehog's        .hEGhagz -w
hee        .hi -w
hee        .hi -w
heel's        .hilz -w
heel's        .hilz -w
heels         .hilz -w
height        .h9t -w
height        .h9t -w
heinie        .h9ni -w
heinie        .h9ni -w
held        .hEld -w
helicopter        .hElikaptR -w
hell        .hEl -w
hello          .hElo -w
helmet        .hElmIt -w
help           .hElp -w
helped         .hElpt -w
helper        .hElpR -w
helpful        .hElpfL -w
helping        .hElpIN -w
helps          .hElps -w
helter        .hEltR -w
hen          .hEn -w
henry        .hEnri -w
henry's        .hEnriz-w
hens          .hEnz -w
her            .h3 -w
hera        .hEr6 -w
hercules        .h3ky6liz -w
here           .h( -w
here're       .h(R -w
here's         .h(z -w
heres        .h3z -w   
heros        .h3oz -w
hers           .h3z -w
herself        .hRsElf -w
hey            .he -w
heybie         .hebi -w
hi             .h9 -w
hicciuppies   .hIkiApiz -w
hiccihicciuppies .hIki -w .hIkiApiz -w
hiccup        .hIkAp -w
hiccups        .hIkAps -w
hickies        .hIkiz -w
hickieuppies        .hIkiApiz -w
hickory        .hIk%i -w
hid        .hId -w
hidden        .hId~ -w
hide           .h9d -w
hideandseek        .h9d -w .&nd -w .sik -w
hiding         .h9dIN -w
high           .h9 -w
highchair      .h9c* -w
highchairs     .h9c*z -w
higher         .h9R -w
highest        .h9Est -w
highfive      .h9f9v -w
highfives     .h9f9vz -w
hijklmnop@k  .ec -w .9 -w .Ge -w .ke -w .El -w .Em -w .En -w .o -w .pi -w
hike        .h9k -w
hikers        .h9kRz -w 
hill        .hIl -w        
hills        .hIlz -w
him            .hIm -w
himself        .hImsElf -w
hinge        .hInG -w
hint        .hInt -w
hip      .hIp -w
hippety        .hIpEti -w
hippo        .hIpo -w
hippopotamus        .hIpopat6m6s -w
hippos        .hIpoz -w
hips        .hIps -w
hired        .h9rd -w
his            .hIz -w
hisself        .hisElf -w
hit            .hIt -w
hits        .hIts -w
hitting        .hItIN -w
hiya        .h9y6 -w
hmm        .hM -w
hmmthat's        .hM -w .D&ts -w
ho        .ho -w
hoe        .ho -w
hog        .hag -w
hogging        .hagIN -w        
hogwash        .hagwaS -w
hokey          .hoki -w
hold           .hold -w
holder        .holdR -w
holding        .holdIN -w
holds          .holdz -w
holdup        .holdAp -w
hole           .hol -w
holes          .holz -w
holey        .holi -w
holiday        .hOlIde -w
holler        .hOlR -w
hollering        .hOlRIN -w
holly        .hOli -w
hollyhock        .hOlihak -w
hollywood        .hOliwUd -w
holy        .holi -w
home           .hom -w
homemade       .hommed -w
homes          .homz -w
homework        .homw3k -w        
honestly        .anEstli -w
honey          .hAni -w
honey's        .hAniz-w
honeysuckle .hAnisAkL-w
honk        .haNk -w
honker        .haNkR -w
honking        .haNkIN -w
hoo@o         .hu -w
hoochie .huci -w
hoochoo        .hucu -w
hood        .hUd -w    
hook           .hUk -w
hooked        .hUkt -w
hooking      .hUkIN -w
hooks         .hUks -w
hoop        .hup -w
hoops        .hups -w
hooray        .hure -w 
hoot        .hut -w
hop             .hap -w
hope           .hop -w
hoped          .hopt -w
hopeful        .hopfL -w
hopefully    .hopfLli -w
hopes          .hops -w
hophop        .haphap -w
hopie         .hopi -w
hoping         .hopIN -w
hopped          .hapt -w
hoppety        .hapIti -w
hopping          .hapIN -w
hoppity        .hapIti -w
hoppy        .hapi -w
hops             .haps -w
hopscotch      .hapskac -w
horn        .h%n -w 
horner        .h%nR -w
horns        .h%nz -w
horrible        .h%IbL -w
horribly        .h%IbLi -w
horse          .h%s -w
horseradish  .h%sr&dIS -w
horses         .h%sIz -w
horsie         .h%si -w
horsie's       .h%siz -w
horsieback        .h%sIb&k -w
horsies        .h%sIz -w        
hose        .hoz -w
hospital        .haspItL -w
hostas        .hOst6z -w
hostile .hastIl -w
hosts        .hosts -w
hot            .hat -w
hotdog        .hatdag -w
hotmitt .hatmIt -w
hots        .hats -w        
hound        .hQnd -w
hour           .QR -w
hours        .QRz -w
house          .hQs -w
housecoat        .hQskot -w
houses         .hQsIz -w
how            .hQ -w
how'd          .hQd -w
how're        .hQ# -w
how's          .hQz -w
however        .hQEvR -w
howling        .hQlIN -w
hows        .hQz -w
huber        .hubR -w        
hubers        .hubRz -w
hue        .hu -w
huff        .hAf -w
huffed        .hAft -w
hug            .hAg -w
huge           .hyuG -w
hugged        .hAgd -w
hugger        .hAgR -w
hugging .hAgIN -w
huggy          .hAgi -w
hugs           .hAgz -w
huh             .hA -w
hum        .hAm -w
human          .hyum~ -w
humming        .hAmIN -w
humor        .humR -w
hump        .hAmp -w
humpty         .hAmpti -w
hundred         .hAndrEd -w
hundreds         .hAndrEdz -w
hung        .hAN -w
hungrier       .hANgriR -w
hungry         .hANgri -w
hunhunh        .AnAn -w
hunkamunka .hAnk6mANk6 -w
hunt        .hAnt -w
hunting        .hAntIN -w
hurley's       .h3liz -w
hurray        .h3re -w
hurried       .h3rid -w
hurries        .h3riz -w
hurry           .h3ri -w
hurrying      .h3riIN -w
hurt           .h3t -w
hurting        .h3tIN -w
hurts        .h3ts -w
husband        .hAzb~d -w
husband's      .hAzb~dz -w
hush        .hAS -w
hut        .hAt -w
hydrant .h9drEnt -w
hydrogen        .h9dr6GEn -w
hyena        .h9in6 -w
hymnal        .hImnL -w
hyper        .h9pR -w
hypoallergenic        .h9po&lRGEnIk -w
i              .9 -w
i'd            .9d -w
i'll           .9l -w
i'm            .9m -w
i've           .9v -w
i@l            .9 -w
iago        .yago -w
ice            .9s -w
ichabod        .Ik6bad -w
icie        .9si -w
icky        .Iki -w
icy                .9si -w
idea           .9di6 -w
ideas        .9di6z -w
identify       .9dEnt6f9 -w
idiot        .Idi6t -w
if             .If -w
ignorance        .Ign36nts -w
ignore        .Ign% -w
ignoring        .Ign%IN -w
iguana        .Igwan6 -w
ijklmnop@k        .9 -w .Ge -w .ke -w .El -w .Em -w .En .o -w .pi -w  
ill        .Il -w
illusory        .IluzRi -w 
illustrated .IlAstretEd -w
imaginary      .Im&G6n*i -w
imagination    .Im&G6neS~ -w
imagine        .Im&GIn -w
imagining        .Im&GInIN
imitate        .ImItet -w
imitates        .ImItets -w
imitating        .ImitetIN -w
imitative      .ImItetIv -w
immediately    .ImidiItli -w
implies        .Impl9z -w
important      .Imp%t~t -w
impossibility        .Impas6bIl6ti -w
impossible        .Impas6bL -w 
imposter        .Imp6stR -w 
impressed        .ImprEst -w
improper        .ImprapR -w
improperly     .ImprapRli -w
in             .In -w
inanimate      .In&n6mIt -w
inappropriate  .In6propriIt -w
incessently    .InsEs~tli -w
inches           .Inc6z -w
inching        .IncIN -w 
inchworm         .Incw3m -w
including      .InkludIN -w
income         .InkAm -w
increase        .Inkris -w
incredible     .InkrEd6bL -w
incredibly     .InkrEd6bli -w
indeed        .Indid -w 
indeedie         .Indidi -w
independent        .Ind6pEndEnt -w
independently         .Ind6pEndEntli -w 
indestructible        .IndistrAkt6bL -w 
india        .Indi6 -w 
indian         .Indi~ -w
indians        .Indi~z -w 
indigo        .IndIgo -w
individual     .Ind6vIGL -w
individuals   .Ind6vIGLz -w
indoors         .Ind%z -w
inexpensive        .InIkspEnsIv -w 
infant        .Inf~t -w 
infantry        .Inf~tri -w 
infection        .InfEkS~ -w 
infections        .InfEkS~z -w 
infinity        .InfIn6ti -w 
inflicting        .InflIktIN -w 
influence        .Influ~ts -w
inform        .Inf%m -w
informed     .Inf%md -w
informing     .Inf%mIN -w
informs         .Inf%mz -w
infrastructures        .Infr6strAkcRz -w
initiated      .InISietId -w
injuries        .InGRiz -w
injury          .InGRi -w
ink            .iNk -w
inning         .InIN -w
innocent        .In6s~t -w
innovative        .InovetIv
input         .InpUt -w
inside         .Ins9d -w
insist        .InsIst -w 
insistent        .InsIstEnt -w
insists        .InsIsts -w
inspire        .Insp9R -w
instance       .Inst~s -w
instantly        .Inst~tli -w
instead        .InstEd -w
instructions .InstrAkS~z -w
instrument    .InstrAmNt -w
instruments  .InstrAmNts -w
intense        .IntEnts -w
intent        .IntEnt -w 
interaction    .IntR&kS~ -w
interest       .IntrIst -w
interested     .Intr6stId -w
interesting    .Intr6stIN -w
internet        .IntRnEt -w
interpret      .Int3prIt -w
interrupt        .IntRApt -w
into           .Intu -w
intrigued      .Intrigd -w
introduced     .Intr6dust -w
invent        .InvEnt -w
invented        .InvEnt6d -w
investigate .InvEst6get -w
investigator        .InvEst6getR -w 
invisible        .InvIsIbL -w
invitation       .InvIteS~ -w
invitations     .InvIteS~z -w
invited        .Inv9t6d -w
invites         .Inv9ts -w
inviting         .Inv9tIN -w
involved       .Invalvd -w
involves       .Invalvz -w
iron           .9Rn -w
ironed        .9Rnd -w
ironing        .9RnIN -w
irons          .9Rnz -w
irritable         .Irit6bL -w
irritate        .(Itet -w
irritated       .(Itet6d -w
irritates       .(Itets -w
irritating      .(ItetIN -w
is             .Iz -w
isaac        .9zIk -w 
isabel         .Iz6bL -w
isaiah        .Ise6 -w 
island        .Il~d -w 
island's         .Il~dz -w
isn't          .Iz~t -w
israel        .IzrEL -w 
israelite         .Izrel9t -w
it             .It -w
it'd        .It6d -w
it'll          .ItL -w
it's           .Its -w
italian        .It&ly~ -w
italy        .ItLi -w
itch          .Itc -w
itches        .IcIz -w
itching        .IcIN -w 
itchy        .Ici -w 
items        .9tMz -w
its            .Its -w
itself        .ItsElf -w 
itsy        .Itsi -w
itty         .Iti -w
ivy        .9vi -w
j        .Ge -w
j's        .Gez -w
j@l            .Ge -w
jabbering      .G&bRIN -w
jack           .G&k -w
jacket         .G&kIt -w
jackets        .G&kIts -w
jackie         .G&ki -w
jackrabbit        .G&kr&bIt -w 
jacks        .G&ks -w 
jacob        .G&k6b -w 
jacob's        .G&k6bz -w
jafar        .G6f# -w 
jafar's        .G6f#z -w 
jail        .Gel -w
jake           .Gek -w
jam            .G&m -w
james        .Gemz 
jammie@s        .G&mi -w
jammies        .G&miz -w
jane        .Gen -w
jane's .Genz -w
janie's .Geniz -w
jar            .G# -w
jarred        .G#d -w         
jars           .G#z -w
jasmine        .G&zm~ -w 
jaw        .GO -w
jaws        .GOz -w         
jay        .Ge -w
jaylen .Gel~ -w
jaylen's        .Gel~z -w
jealous     .GEl6s -w
jeans          .Ginz -w
jeez   .Giz -w
jeff           .GEf -w
jeff's         .GEfs -w
jeffrey        .GEfri -w
jeffrey's      .GEfriz -w
jello          .GElo -w
jelly          .GEli -w
jellyfish   .GElifIS -w
jemima   .G7m9m6 -w
jeremiah    .G*6m96 -w
jeremy    .G*6mi -w
jerk   .G3k -w
jerome   .G6rom -w
jerry    .j*i -w
jesse          .GEsi -w
jesus          .Giz6s -w
jesus's    .Giz6s6z -w
jethro   .GETro -w
jewelry        .GuLri -w
jewish    .GuIS -w
jig      .GIg -w
jiggety     .GIg6ti -w
jiggling    .GIgLIN -w
jill           .GIl -w
jim            .GIm -w
jim's     .GImz -w
jimmy   .GImi -w
jingle    .GINgL -w
jingles   .GINgLz -w
jingly     .GINgLi -w
job            .Gab -w
jodie     .Godi -w
joe   .Go -w
joey           .Goi -w
jog    .GOg -w
jogging   .GOgIN -w
john      .GOn -w
john's    .GOnz -w
johnny   .GOni -w
johns     .GOnz -w
join   .G7n -w
joke    .Gok -w
joking  .GokIN -w
jolly   .GOli -w
jonah     .Gon6 -w
jordan    .G%d~ -w
jordan's   .G%d~z -w
jordan's     .G%d~z -w
joseph    .Gos6f -w
joshua   .GaSu6 -w
joy     .G7 -w
joyful  .G7fL -w
judge  .GAG -w
judy           .Gudi -w
judy's         .Gudiz -w
jug     .GAg -w
juggling   .GAgLIN -w
juice          .Gus -w
juices          .Gus6z -w
juicie     .Gusi -w
juicy     .Gusi -w
